customer_id,name,age,region,plan,signup_date,support_tickets,nps_score,churned
C00056,Agatha Peixoto,37,Sudeste,Pro,2021-05-06,3,4,0
C00057,Dr. Antony Camargo,45,Sudeste,Basic,2023-08-14,3,5,0
C00058,Dr. Isaque Araújo,64,Sudeste,Pro,2021-03-15,2,2,0
C00059,Bruno Barros,24,Nordeste,Basic,2021-02-25,3,7,0
C00060,Sra. Ana Lívia Teixeira,61,Sul,Basic,2022-12-21,0,9,0
C00061,Carolina Cardoso,25,Norte,Enterprise,2022-07-07,2,10,1
C00062,Olívia Novaes,64,Centro-Oeste,Basic,2021-02-01,2,3,0
C00063,João Moura,52,Norte,Basic,2022-07-28,4,3,0
C00064,Mariana Cunha,31,Norte,Pro,2022-10-29,2,10,0
C00065,Gabriela Silva,34,Sul,Basic,2021-10-11,2,4,0
C00066,Murilo Rios,53,Sul,Pro,2021-07-06,2,9,0
C00067,Maria Fernanda Macedo,67,Sul,Pro,2022-05-13,2,8,0
C00068,Milena Campos,57,Sudeste,Basic,2021-05-10,1,7,0
C00069,Henry Gabriel Azevedo,21,Nordeste,Pro,2022-10-01,2,6,0
C00070,Sr. Yuri da Conceição,19,Sudeste,Pro,2021-04-24,3,4,0
C00071,Hellena Abreu,23,Nordeste,Basic,2021-01-13,1,8,0
C00072,Bento da Conceição,59,Nordeste,Basic,2022-03-20,3,8,1
C00073,Arthur Gabriel Farias,21,Norte,Basic,2022-03-23,3,9,0
C00074,Théo da Costa,46,Norte,Enterprise,2023-09-13,1,9,0
C00075,Ryan Cunha,35,Nordeste,Basic,2023-09-20,1,1,0
C00076,Caroline Silveira,43,Nordeste,Pro,2022-12-16,4,3,0
C00077,Olívia da Cruz,61,Sudeste,Pro,2021-03-15,2,7,0
C00078,Maria Luísa Correia,51,Sudeste,Pro,2022-06-21,1,0,0
C00079,Calebe Ribeiro,27,Norte,Basic,2021-04-11,1,4,0
C00080,Maria Lima,53,Sul,Basic,2021-06-25,0,7,0
C00081,Nina Siqueira,31,Nordeste,Pro,2022-03-03,2,1,0
C00082,Carlos Eduardo Araújo,48,Sudeste,Basic,2021-02-10,3,1,0
C00083,Maitê Caldeira,65,Norte,Basic,2022-03-05,2,7,0
C00084,Gael Correia,32,Sudeste,Basic,2021-12-10,1,9,0
C00085,Melissa Carvalho,25,Nordeste,Basic,2022-01-01,1,8,0
C00086,Emilly da Mota,31,Nordeste,Enterprise,2022-09-01,4,6,0
C00087,Isadora Barbosa,40,Centro-Oeste,Basic,2022-10-19,1,7,1
C00088,Beatriz Aragão,57,Sul,Basic,2022-12-29,1,4,0
C00089,Ágatha Albuquerque,38,Centro-Oeste,Basic,2021-08-17,3,0,0
C00090,Isaac Cavalcante,33,Norte,Pro,2023-04-05,1,3,0
C00091,Raquel Mendes,62,Sudeste,Pro,2023-06-08,1,1,0
C00092,Murilo Araújo,35,Norte,Basic,2023-09-11,3,2,0
C00093,Mateus Abreu,64,Nordeste,Pro,2023-04-16,2,2,0
C00094,Julia Viana,41,Centro-Oeste,Pro,2021-04-27,2,8,0
C00095,Laura Lima,43,Centro-Oeste,Enterprise,2023-03-29,2,9,1
C00096,Dra. Raquel Cassiano,42,Centro-Oeste,Pro,2022-01-03,2,3,0
C00097,Juan Cunha,62,Norte,Basic,2021-06-17,3,1,1
C00098,Vitor Hugo Araújo,58,Nordeste,Basic,2023-08-12,3,2,0
C00099,Sra. Ana Laura Aragão,46,Sudeste,Basic,2022-10-23,5,2,0
C00100,Pietra Montenegro,32,Sudeste,Basic,2022-11-26,1,6,0
C00101,Eduarda Araújo,62,Norte,Enterprise,2023-07-14,3,7,0
C00102,Anna Liz Cirino,18,Centro-Oeste,Basic,2021-06-01,1,10,0
C00103,Bernardo Rocha,42,Sul,Basic,2022-08-09,0,5,1
C00104,Nathan Campos,24,Norte,Pro,2023-07-02,2,3,1
C00105,Isadora Pacheco,26,Norte,Pro,2021-10-01,3,5,0
C00106,Ana Cecília Pinto,41,Nordeste,Basic,2022-05-11,1,10,0
C00107,Otto Ribeiro,18,Sudeste,Basic,2021-04-11,4,0,0
C00108,Stephany Dias,61,Norte,Basic,2022-07-11,1,9,0
C00109,Gustavo Rios,25,Norte,Pro,2021-03-14,0,7,0
C00110,Sra. Isabella da Luz,41,Centro-Oeste,Basic,2023-11-04,2,0,0
C00111,Caroline Rios,28,Centro-Oeste,Basic,2021-06-06,0,4,1
C00112,Letícia Marques,68,Sul,Pro,2023-01-05,4,1,0
C00113,Sr. Anthony Marques,34,Nordeste,Basic,2021-05-12,1,5,1
C00114,Beatriz Barbosa,25,Sul,Pro,2023-10-16,2,8,0
C00115,Hadassa Montenegro,52,Centro-Oeste,Basic,2022-07-13,1,4,0
C00116,Davi Lucca Ferreira,52,Sudeste,Basic,2021-04-17,1,3,0
C00117,Joaquim Freitas,50,Centro-Oeste,Enterprise,2021-09-22,1,1,0
C00118,Emanuel Macedo,22,Nordeste,Pro,2021-06-04,2,2,1
C00119,Liz Pimenta,59,Centro-Oeste,Basic,2023-09-15,1,5,1
C00120,Vitória Albuquerque,56,Nordeste,Pro,2023-09-24,2,7,1
C00121,Letícia Ribeiro,58,Nordeste,Pro,2021-09-04,3,7,1
C00122,Davi Luiz da Luz,45,Nordeste,Pro,2022-06-15,4,4,0
C00123,Cauê Souza,24,Nordeste,Basic,2023-05-08,2,4,0
C00124,Daniela da Mata,26,Nordeste,Enterprise,2022-06-22,2,9,0
C00125,Gustavo Henrique Silva,25,Sudeste,Basic,2022-12-30,3,2,1
C00126,Sr. João Montenegro,29,Sul,Basic,2021-06-03,3,6,0
C00127,Isis Aragão,51,Norte,Basic,2021-04-02,2,5,1
C00128,Otávio da Mota,50,Sul,Basic,2021-12-04,3,0,0
C00129,Alexandre Farias,65,Nordeste,Pro,2022-03-26,1,3,1
C00130,João Castro,40,Sudeste,Basic,2023-03-21,4,5,0
C00131,Sra. Mariane Novais,41,Centro-Oeste,Basic,2023-02-26,0,10,0
C00132,Daniel Barbosa,54,Sudeste,Enterprise,2021-09-30,5,5,0
C00133,Srta. Ísis Andrade,52,Nordeste,Basic,2022-08-11,2,10,1
C00134,Sr. Pedro Cardoso,61,Sudeste,Basic,2021-06-26,1,2,0
C00135,Leandro Fonseca,57,Sudeste,Basic,2023-04-11,1,5,1
C00136,Luiz Henrique Costela,39,Nordeste,Basic,2022-10-05,1,9,1
C00137,Isadora Rios,44,Sudeste,Basic,2023-12-09,2,5,0
C00138,Luiz Gustavo Vasconcelos,52,Norte,Pro,2022-07-21,1,8,0
C00139,Maria Luísa Pinto,18,Norte,Basic,2022-10-28,4,8,0
C00140,Srta. Isabela Castro,52,Sudeste,Basic,2023-05-18,3,1,0
C00141,Noah Alves,54,Centro-Oeste,Pro,2023-12-06,0,3,0
C00142,Lucas Gabriel Viana,64,Nordeste,Pro,2021-10-29,2,8,0
C00143,Isadora da Mata,31,Norte,Basic,2023-05-18,0,3,0
C00144,Cauê Garcia,20,Centro-Oeste,Pro,2023-07-01,0,7,0
C00145,Ravy Câmara,18,Sudeste,Basic,2022-02-12,2,9,0
C00146,Raul Ferreira,22,Centro-Oeste,Basic,2023-04-02,3,2,0
C00147,Ian Câmara,43,Sul,Pro,2022-07-15,2,2,0
C00148,Gael Guerra,31,Norte,Basic,2022-04-09,2,8,0
C00149,Dr. Bernardo Vargas,56,Sudeste,Enterprise,2021-05-24,1,10,0
C00150,Luiz Fernando Ramos,44,Nordeste,Basic,2022-03-18,0,9,1
C00151,Maria Liz Rocha,26,Sudeste,Pro,2022-05-02,2,7,0
C00152,Luísa Alves,32,Nordeste,Basic,2023-05-10,3,0,0
C00153,José Pedro Cavalcanti,32,Sudeste,Pro,2021-05-28,3,9,0
C00154,Julia Andrade,43,Centro-Oeste,Pro,2023-12-31,3,1,0
C00155,Pedro Henrique Ferreira,59,Centro-Oeste,Pro,2023-03-22,3,2,0
C00156,Sra. Maya Pereira,30,Centro-Oeste,Basic,2022-10-28,0,10,0
C00157,Bruna Gomes,68,Sul,Pro,2021-03-31,1,1,0
C00158,Esther da Cunha,49,Nordeste,Pro,2021-07-18,2,2,1
C00159,Pedro Henrique Abreu,56,Centro-Oeste,Pro,2022-06-22,1,7,0
C00160,Zoe Rodrigues,66,Sul,Pro,2021-10-28,4,10,1
C00161,Dra. Fernanda Fonseca,69,Nordeste,Pro,2022-12-25,0,10,1
C00162,Ana Lívia Rios,49,Sudeste,Basic,2023-08-21,1,5,0
C00163,Dr. Davi Silveira,21,Sul,Basic,2021-03-09,4,6,0
C00164,Thiago das Neves,47,Norte,Basic,2022-04-04,1,9,0
C00165,Maria Luísa Duarte,54,Sul,Basic,2022-02-02,2,9,0
C00166,Laís Novaes,40,Sul,Enterprise,2022-09-12,4,5,1
C00167,Gael Leão,56,Nordeste,Pro,2022-12-31,2,0,0
C00168,Maria Helena Rocha,62,Sudeste,Enterprise,2022-07-10,3,10,0
C00169,Srta. Liz Guerra,32,Norte,Basic,2023-02-20,1,2,1
C00170,Agatha da Rosa,60,Centro-Oeste,Enterprise,2023-06-13,2,0,1
C00171,Gustavo Henrique Lopes,46,Centro-Oeste,Pro,2022-09-02,1,9,0
C00172,Luna Martins,53,Sul,Pro,2023-01-18,3,8,1
C00173,Melina Rocha,30,Nordeste,Pro,2021-10-09,3,8,0
C00174,Thomas Melo,49,Nordeste,Basic,2022-10-23,1,4,0
C00175,Srta. Antonella da Paz,24,Centro-Oeste,Pro,2023-07-13,3,3,0
C00176,Lívia Borges,68,Norte,Pro,2023-09-23,3,8,0
C00177,Leonardo Câmara,39,Sudeste,Basic,2023-01-16,3,8,0
C00178,Diogo Alves,45,Norte,Basic,2021-03-28,2,2,0
C00179,Joaquim Melo,19,Sudeste,Enterprise,2023-03-02,0,4,0
C00180,Ana Sophia Marques,59,Centro-Oeste,Enterprise,2021-10-31,4,2,0
C00181,Evelyn Silva,62,Sudeste,Enterprise,2021-05-10,1,9,0
C00182,Sra. Sabrina Guerra,23,Nordeste,Pro,2022-08-19,2,1,0
C00183,Diogo Rezende,45,Sul,Basic,2022-07-12,2,0,0
C00184,Srta. Bianca Vasconcelos,45,Sul,Basic,2023-06-18,1,9,0
C00185,Hellena Cavalcanti,61,Centro-Oeste,Basic,2021-03-19,2,1,1
C00186,Dra. Nicole Aragão,61,Nordeste,Basic,2023-02-23,6,7,1
C00187,Isadora Campos,37,Norte,Basic,2022-11-05,0,10,0
C00188,Catarina Martins,47,Nordeste,Basic,2021-08-26,4,7,0
C00189,Vitória Novais,28,Sul,Basic,2021-10-05,2,2,1
C00190,Luiza Sá,45,Sul,Enterprise,2023-11-08,1,6,1
C00191,Sofia Lima,42,Nordeste,Basic,2022-06-08,2,6,0
C00192,Melissa Castro,56,Nordeste,Enterprise,2021-06-29,4,1,0
C00193,Sra. Milena da Luz,50,Sul,Pro,2021-05-03,1,8,0
C00194,João Guilherme Vargas,18,Norte,Basic,2023-12-11,2,2,0
C00195,Raquel Pires,44,Centro-Oeste,Basic,2023-12-31,2,1,0
C00196,João Guilherme Macedo,69,Centro-Oeste,Basic,2022-04-25,5,2,0
C00197,João Pedro da Costa,30,Nordeste,Basic,2023-11-09,1,1,0
C00198,Lucas Gabriel Dias,58,Centro-Oeste,Pro,2021-03-25,0,7,1
C00199,Anna Liz Carvalho,20,Sul,Basic,2022-07-19,2,4,0
C00200,Igor Gomes,56,Sul,Basic,2022-09-11,1,2,0
C00201,Srta. Hadassa Azevedo,23,Nordeste,Basic,2021-12-23,0,4,1
C00202,Maria Luísa Farias,25,Nordeste,Enterprise,2023-03-27,1,10,0
C00203,Nina Leão,44,Nordeste,Pro,2022-10-09,1,10,0
C00204,Gustavo Leão,26,Norte,Pro,2022-03-19,2,7,1
C00205,Alícia Teixeira,54,Centro-Oeste,Basic,2023-12-29,2,6,0
C00206,Maria Helena Mendes,50,Nordeste,Pro,2022-06-07,2,5,1
C00207,Luiz Gustavo da Rosa,68,Sudeste,Pro,2021-05-23,0,0,0
C00208,Mariah Nascimento,59,Sudeste,Pro,2021-07-11,3,9,0
C00209,Dra. Ísis Pereira,61,Sul,Enterprise,2022-01-13,1,0,1
C00210,Ryan Câmara,41,Centro-Oeste,Basic,2022-08-04,1,0,0
C00211,Pedro Henrique Mendonça,32,Nordeste,Enterprise,2022-06-19,3,9,0
C00212,Mathias Fernandes,49,Sudeste,Enterprise,2023-10-30,1,7,0
C00213,Maria Luiza Silveira,49,Centro-Oeste,Basic,2021-04-03,0,7,0
C00214,Ravi Lucca Cardoso,41,Sul,Basic,2022-06-13,1,6,1
C00215,Yasmin Alves,58,Norte,Enterprise,2022-02-09,2,5,0
C00216,Amanda Barros,69,Centro-Oeste,Basic,2023-04-20,2,3,0
C00217,Mariane Carvalho,66,Centro-Oeste,Pro,2023-06-08,1,0,0
C00218,Emilly Aragão,66,Norte,Enterprise,2022-02-26,1,8,0
C00219,Mateus Duarte,69,Centro-Oeste,Pro,2022-04-17,4,0,1
C00220,Rafael Duarte,29,Sul,Basic,2023-06-12,3,3,1
C00221,Dr. João Lucas Sá,56,Sul,Pro,2022-07-01,0,2,0
C00222,Isis Barros,19,Norte,Basic,2022-09-23,1,6,0
C00223,Allana Souza,20,Nordeste,Pro,2023-11-04,3,4,0
C00224,Ana Júlia Ferreira,66,Sudeste,Basic,2023-02-17,3,4,0
C00225,Bernardo Vasconcelos,54,Nordeste,Pro,2021-12-30,1,3,0
C00226,Ana Cecília Sá,66,Centro-Oeste,Pro,2021-04-29,2,0,0
C00227,Josué Costa,34,Sudeste,Pro,2022-06-30,3,4,0
C00228,Eduardo da Costa,66,Norte,Pro,2022-06-06,1,3,1
C00229,Renan Rios,19,Norte,Pro,2022-09-26,0,9,0
C00230,Henrique Martins,19,Sudeste,Pro,2023-08-21,2,7,0
C00231,Sra. Maria Eduarda Cavalcante,45,Sul,Basic,2023-08-16,3,1,0
C00232,Bruna Vasconcelos,40,Sudeste,Pro,2023-06-02,2,7,0
C00233,Leonardo Caldeira,54,Centro-Oeste,Basic,2023-02-19,3,0,0
C00234,Amanda das Neves,49,Sul,Enterprise,2023-05-21,0,3,0
C00235,Maria Flor Gonçalves,50,Norte,Basic,2022-05-31,2,2,1
C00236,Srta. Ana Vitória Pastor,18,Sudeste,Basic,2023-07-27,4,4,0
C00237,Dra. Isabelly Caldeira,36,Nordeste,Pro,2023-05-16,4,4,1
C00238,Sra. Bárbara Vieira,19,Nordeste,Basic,2021-04-16,2,4,0
C00239,Ana Cecília Ferreira,61,Centro-Oeste,Basic,2021-08-02,2,3,0
C00240,Mariane Ribeiro,43,Nordeste,Pro,2023-04-30,1,7,0
C00241,Sr. Thiago Ramos,49,Sudeste,Pro,2021-07-16,1,2,0
C00242,Sr. Otto Mendonça,23,Sudeste,Pro,2021-01-19,0,3,0
C00243,Pedro Fonseca,49,Nordeste,Basic,2022-10-04,2,0,0
C00244,Natália Santos,21,Sudeste,Pro,2023-11-02,0,6,0
C00245,Pedro Henrique Cavalcanti,28,Centro-Oeste,Basic,2021-11-26,1,0,0
C00246,Dra. Júlia Pimenta,34,Sul,Pro,2023-05-16,3,1,1
C00247,Rafaela Martins,55,Centro-Oeste,Pro,2023-02-13,0,10,0
C00248,Juliana Duarte,41,Centro-Oeste,Pro,2022-01-27,2,6,0
C00249,Caio da Mota,22,Sudeste,Basic,2022-09-29,1,0,0
C00250,Isabelly Sá,69,Sul,Basic,2021-11-03,2,10,0
C00251,Maria Helena Fernandes,51,Sudeste,Basic,2023-06-14,0,2,0
C00252,Thales Duarte,23,Norte,Basic,2022-10-14,2,5,0
C00253,Ryan Cunha,39,Sudeste,Basic,2023-04-21,1,5,1
C00254,Dr. Luigi da Mota,28,Sudeste,Pro,2023-10-23,3,5,1
C00255,Kamilly Novais,65,Sudeste,Basic,2022-06-04,3,10,0
C00256,Valentim Correia,33,Sul,Enterprise,2022-09-28,2,1,1
C00257,Isaque Silveira,50,Sudeste,Basic,2023-01-10,2,1,0
C00258,Rebeca Novais,26,Sul,Pro,2022-04-14,2,5,1
C00259,Renan Ramos,23,Nordeste,Pro,2021-07-31,0,9,0
C00260,Sra. Melissa Vieira,33,Norte,Basic,2023-10-29,2,4,0
C00261,Caleb da Rocha,46,Sul,Basic,2023-03-15,2,6,0
C00262,Nathan Sales,20,Nordeste,Pro,2022-04-22,1,6,0
C00263,Leandro Ribeiro,37,Sul,Basic,2023-05-24,3,4,0
C00264,Maria Eduarda Melo,53,Sul,Enterprise,2022-04-05,1,7,1
C00265,Vitória Ferreira,36,Norte,Pro,2021-09-10,1,9,0
C00266,Luísa Fogaça,43,Centro-Oeste,Enterprise,2023-01-22,2,5,0
C00267,Sra. Júlia das Neves,20,Centro-Oeste,Basic,2023-09-08,1,4,0
C00268,Igor Campos,36,Sul,Pro,2023-05-04,1,3,1
C00269,Srta. Luara Campos,37,Sudeste,Pro,2021-08-24,0,6,1
C00270,Dra. Ester Correia,49,Nordeste,Pro,2022-04-23,3,3,0
C00271,Rodrigo da Mota,24,Sudeste,Basic,2022-11-10,2,4,1
C00272,Dra. Valentina Peixoto,69,Sudeste,Pro,2023-11-10,2,4,1
C00273,Carlos Eduardo Correia,58,Sul,Basic,2021-08-04,4,0,0
C00274,Ian Fonseca,50,Sul,Pro,2023-05-05,1,0,1
C00275,Kevin Albuquerque,57,Sul,Basic,2021-05-15,3,2,0
C00276,Dra. Carolina da Mota,56,Sul,Enterprise,2023-06-24,2,10,0
C00277,Benjamim Novaes,35,Centro-Oeste,Basic,2022-02-14,2,2,0
C00278,Davi Lucas Porto,57,Sul,Pro,2021-03-27,1,1,0
C00279,Bella Albuquerque,18,Centro-Oeste,Enterprise,2022-07-10,3,1,0
C00280,Larissa Melo,28,Centro-Oeste,Pro,2022-01-13,1,5,0
C00281,Maysa Fernandes,45,Sul,Pro,2023-12-11,2,0,1
C00282,Benjamim da Cunha,42,Norte,Basic,2021-08-30,1,5,1
C00283,Bruna Azevedo,67,Nordeste,Enterprise,2023-07-09,3,4,1
C00284,Rebeca Barbosa,40,Sudeste,Basic,2021-09-23,3,5,0
C00285,Ana Júlia Cassiano,48,Centro-Oeste,Pro,2022-12-13,1,4,0
C00286,Kevin Barros,47,Nordeste,Pro,2021-03-11,2,6,0
C00287,Dante Novais,59,Norte,Pro,2021-02-26,0,0,1
C00288,Heloisa Vasconcelos,52,Sudeste,Basic,2021-02-08,2,2,0
C00289,Maria Helena Machado,24,Sudeste,Pro,2023-03-12,2,5,1
C00290,Letícia Pastor,33,Centro-Oeste,Pro,2023-11-08,0,0,1
C00291,Lorena Nunes,43,Sul,Basic,2023-01-02,3,10,0
C00292,Ana Liz Pimenta,65,Norte,Enterprise,2023-04-05,4,10,0
C00293,Srta. Giovanna Pires,69,Centro-Oeste,Basic,2023-01-26,0,6,0
C00294,João Ribeiro,66,Norte,Basic,2021-12-18,3,3,0
C00295,Emanuel da Costa,19,Sul,Basic,2021-10-10,1,2,0
C00296,Yuri Barbosa,18,Sul,Basic,2021-04-20,2,9,1
C00297,Alexandre Jesus,65,Centro-Oeste,Enterprise,2023-10-14,3,8,0
C00298,Olivia da Rocha,29,Sul,Basic,2022-06-28,2,0,1
C00299,Igor da Paz,22,Nordeste,Basic,2021-01-25,0,7,1
C00300,Sra. Mirella Barbosa,54,Sudeste,Basic,2023-04-23,0,0,0
C00301,Isabel da Luz,49,Centro-Oeste,Pro,2023-03-02,1,4,0
C00302,Fernanda Lima,26,Norte,Pro,2023-01-08,4,9,1
C00303,Yago Câmara,58,Nordeste,Basic,2021-02-26,1,7,0
C00304,Clarice da Mata,52,Centro-Oeste,Basic,2021-06-29,0,5,0
C00305,Brayan Araújo,36,Sul,Enterprise,2021-08-20,2,6,0
C00306,Leandro Peixoto,65,Sul,Basic,2021-12-09,0,10,0
C00307,Dra. Laura Macedo,33,Sul,Basic,2022-04-22,3,7,0
C00308,Ravi Lucca Sales,20,Sul,Basic,2022-07-30,3,5,1
C00309,Nathan da Mata,37,Norte,Pro,2022-03-31,2,10,0
C00310,Ágatha Monteiro,41,Nordeste,Basic,2021-10-16,4,5,0
C00311,Anna Liz Peixoto,50,Sudeste,Pro,2021-09-15,0,10,1
C00312,Pedro Sousa,41,Norte,Basic,2022-06-14,4,5,0
C00313,Dr. Apollo Borges,69,Norte,Enterprise,2022-11-18,1,4,0
C00314,Antônio Teixeira,28,Sudeste,Basic,2023-07-18,2,7,0
C00315,Juliana Oliveira,66,Sudeste,Pro,2021-08-17,1,1,1
C00316,Erick Melo,25,Sul,Basic,2022-08-19,1,6,0
C00317,Melina da Mota,53,Norte,Basic,2022-03-11,4,3,1
C00318,Pedro Henrique Porto,55,Centro-Oeste,Pro,2023-06-01,0,0,1
C00319,Ayla Melo,57,Sudeste,Basic,2023-10-18,0,4,0
C00320,Dr. Lucas Gabriel Duarte,37,Sudeste,Enterprise,2022-02-06,3,2,0
C00321,Bella Castro,52,Nordeste,Enterprise,2022-09-14,1,3,1
C00322,Dr. Thales da Paz,65,Centro-Oeste,Enterprise,2021-03-29,2,6,0
C00323,Maria Liz Teixeira,42,Centro-Oeste,Basic,2022-08-07,1,4,0
C00324,Ana Carolina Marques,52,Sudeste,Pro,2021-11-05,2,3,1
C00325,Levi da Cunha,42,Sul,Basic,2023-06-25,3,0,0
C00326,Sr. Nathan Moraes,46,Nordeste,Enterprise,2021-12-09,3,5,0
C00327,Vitor Hugo Martins,35,Centro-Oeste,Pro,2022-03-12,1,10,0
C00328,Ana Júlia Correia,63,Sudeste,Pro,2021-06-26,1,9,0
C00329,Maria Cecília Pinto,35,Centro-Oeste,Basic,2021-05-19,1,5,0
C00330,Melina Teixeira,19,Nordeste,Pro,2021-07-13,2,6,0
C00331,Gustavo da Mata,52,Nordeste,Basic,2023-08-01,2,0,0
C00332,Caroline da Paz,33,Norte,Pro,2022-06-09,4,3,0
C00333,Raquel Campos,58,Sudeste,Basic,2023-12-02,4,8,1
C00334,Isaque Santos,53,Nordeste,Pro,2023-07-04,4,9,1
C00335,Leonardo Novaes,50,Norte,Pro,2021-07-29,2,5,0
C00336,Yuri Jesus,21,Norte,Pro,2023-01-11,2,1,0
C00337,Henry Gabriel Camargo,50,Centro-Oeste,Basic,2023-05-12,0,3,1
C00338,Bárbara Ramos,31,Centro-Oeste,Pro,2023-08-12,2,5,1
C00339,Theo Silva,38,Norte,Basic,2023-04-13,1,3,0
C00340,Thomas Santos,65,Centro-Oeste,Basic,2021-05-20,2,9,0
C00341,Oliver Mendes,37,Nordeste,Basic,2023-03-03,2,6,0
C00342,Isabelly Marques,25,Sul,Basic,2022-06-30,1,2,0
C00343,Clara Gomes,24,Nordeste,Basic,2023-10-14,5,5,0
C00344,Thomas Souza,20,Norte,Pro,2021-02-26,1,3,0
C00345,Bernardo da Mota,34,Norte,Basic,2021-04-22,3,2,1
C00346,Manuela Viana,50,Nordeste,Basic,2021-01-05,2,2,0
C00347,Juliana Abreu,65,Centro-Oeste,Enterprise,2023-11-03,3,1,0
C00348,Kaique Pastor,29,Centro-Oeste,Basic,2021-03-31,4,10,0
C00349,Rebeca Cassiano,68,Norte,Pro,2022-09-08,1,2,1
C00350,Zoe Mendes,39,Sudeste,Pro,2023-06-10,0,9,0
C00351,Dr. Yuri Teixeira,39,Centro-Oeste,Enterprise,2022-11-29,4,0,0
